long,lat,PORT,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS,STPOSTAL,STFIPS
-89.08533,30.35216,C2083,"Gulfport, MS",1887584,111376,1776208,1129564,646644,MS,28
-88.55879,30.34802,C2004,"Pascagoula, MS",33784810,8969915,24814895,17339620,7475275,MS,28
-88.88693,30.41907,C2002,"Biloxi, MS",1047038,1047035,3,3,0,MS,28
-94.60762,39.115,I2385,"Kansas City, MO",1206150,1206150,0,0,0,MO,29
-89.499358,37.245849,I2301,"Southeast Missouri Port, MO",877111,877111,0,0,0,MO,29
-90.22961,38.56954,I2310,"St. Louis, MO and IL",34985453,34985453,0,0,0,MO,29
-87.44547,41.67586,L3738,"Indiana Harbor, IN",13164061,12903020,261041,214191,46850,IN,18
-87.41614,41.64523,L3737,"Buffington, IN",1497216,1140749,356467,356467,0,IN,18
-87.32513,41.61202,L3736,"Gary, IN",8878052,8840439,37613,37613,0,IN,18
-87.15521,41.64325,L3739,"Burns Waterway Harbor, IN",8382871,7479035,903836,835086,68750,IN,18
-66.71667,18.00126,C2151,"Ponce, PR",2301355,1180,2300175,2199146,101029,PR,72
-71.15875,41.72166,C0189,"Fall River, MA",768295,719248,49047,49047,0,MA,25
-71.05229,42.350939,C0149,"Boston, MA",16315050,4719300,11595750,10136281,1459469,MA,25
-77.276338,37.322308,C0738,"Hopewell, VA",988781,514121,474660,13174,461486,VA,51
-76.31174,36.86642,C5735,"Norfolk Harbor, VA",46219206,5769190,40450016,8899896,31550120,VA,51
-76.45823,36.98522,C0736,"Newport News, VA",30508064,1259341,29248723,188444,29060279,VA,51
-168.9382,53.75961,C4947,"Unalaska Island, AK",1388644,484178,904466,278904,625562,AK,2
-66.16667,18.66667,C2136,"San Juan, PR",11099448,4323562,6775886,6623897,151989,PR,72
